ID,food_consumption_us(kcal),population_us_asian,cpi_us
2023-01,3949.57,25602660.30,286.64
2023-02,3950.73,25681029.73,286.79
2023-03,3952.01,25766986.21,286.74
2023-04,3953.42,25861507.06,286.48
2023-05,3954.95,25964986.22,286.13
2023-06,3956.60,26077495.87,285.62
2023-07,3958.37,26198353.37,284.91
2023-08,3960.25,26291436.80,284.18
2023-09,3962.23,26388327.29,283.42
2023-10,3963.82,26487776.86,282.60
2023-11,3965.47,26588197.75,281.68
2023-12,3967.16,26687794.68,280.74
2024-01,3968.90,26784736.29,279.83
2024-02,3970.65,26877371.65,279.36
2024-03,3972.41,26970190.46,278.85
2024-04,3974.17,27062359.71,278.33
2024-05,3975.91,27153193.79,277.80
2024-06,3977.62,27242289.74,277.26
2024-07,3979.35,27329521.25,276.72
2024-08,3981.09,27415104.84,276.20
2024-09,3982.84,27499518.65,275.69
2024-10,3984.58,27582489.02,275.19
2024-11,3986.32,27663874.63,274.72
2024-12,3988.06,27743645.39,274.27
2025-01,3989.80,27821843.41,273.85
2025-02,3991.53,27898531.84,273.45
2025-03,3993.27,27973731.73,273.06
2025-04,3995.00,28047391.96,272.68
2025-05,3996.74,28119503.50,272.31
2025-06,3998.47,28190069.37,271.95
2025-07,4000.20,28259125.64,271.61
2025-08,4001.93,28326672.32,271.27
2025-09,4003.65,28392730.47,270.94
2025-10,4005.38,28457288.04,270.63
2025-11,4007.10,28520363.09,270.33
2025-12,4008.82,28581970.64,270.04
2026-01,4010.53,28642131.76,269.76
2026-02,4012.25,28700855.45,269.48
2026-03,4013.96,28758159.77,269.22
2026-04,4015.67,28814056.74,268.96
2026-05,4017.37,28868570.42,268.72
2026-06,4019.07,28921721.86,268.48
2026-07,4020.77,28973517.07,268.24
2026-08,4022.46,29023986.13,268.02
2026-09,4024.15,29073150.08,267.80
2026-10,4025.83,29121029.98,267.59
2026-11,4027.51,29167637.86,267.38
2026-12,4029.18,29213009.79,267.19
2027-01,4030.85,29257151.80,266.99
2027-02,4032.52,29300102.97,266.81
2027-03,4034.18,29341872.33,266.63
2027-04,4035.83,29382492.97,266.45
2027-05,4037.48,29421973.88,266.28
2027-06,4039.13,29460354.19,266.12
2027-07,4040.76,29497645.90,265.96
2027-08,4042.39,29533882.10,265.81
2027-09,4044.02,29569071.81,265.66
2027-10,4045.64,29603254.12,265.51
2027-11,4047.25,29636435.06,265.37
2027-12,4048.86,29668650.69,265.23
2028-01,4050.46,29699919.08,265.10
2028-02,4052.05,29730258.25,264.97
2028-03,4053.64,29759698.28,264.85
2028-04,4055.21,29788260.23,264.73
2028-05,4056.78,29815956.11,264.61
2028-06,4058.35,29842819.01,264.50
2028-07,4059.90,29868866.98,264.39
2028-08,4061.45,29894115.04,264.28
2028-09,4062.99,29918593.27,264.18
2028-10,4064.53,29942313.70,264.07
2028-11,4066.05,29965303.38,263.98
2028-12,4067.57,29987583.39,263.88
2029-01,4069.07,30009162.72,263.79
2029-02,4070.57,30030065.44,263.70
2029-03,4072.06,30050315.62,263.61
2029-04,4073.55,30069922.26,263.53
2029-05,4075.02,30088915.44,263.45
2029-06,4076.49,30107301.18,263.37
2029-07,4077.94,30125097.51,263.29
2029-08,4079.39,30142331.51,263.21
2029-09,4080.82,30159012.19,263.14
2029-10,4082.25,30175151.58,263.07
2029-11,4083.67,30190776.75,263.00
2029-12,4085.08,30205893.71,262.93
2030-01,4086.48,30220520.51,262.87
2030-02,4087.87,30234675.18,262.81
2030-03,4089.25,30248363.74,262.74
2030-04,4090.62,30261604.24,262.69
2030-05,4091.98,30274417.72,262.63
2030-06,4093.33,30286807.19,262.57
2030-07,4094.67,30298790.70,262.52
2030-08,4096.00,30310377.26,262.46
2030-09,4097.32,30321581.92,262.41
2030-10,4098.63,30332419.70,262.36
2030-11,4099.93,30342896.62,262.31
2030-12,4101.22,30353024.72,262.27
2031-01,4102.50,30362816.01,262.22
2031-02,4103.77,30372282.53,262.18
2031-03,4105.03,30381430.29,262.13
2031-04,4106.28,30390277.33,262.09
2031-05,4107.52,30398823.67,262.05
2031-06,4108.75,30407087.32,262.01
2031-07,4109.96,30415071.32,261.97
2031-08,4111.17,30422787.67,261.93
2031-09,4112.36,30430245.41,261.90
2031-10,4113.55,30437450.55,261.86
2031-11,4114.72,30444412.11,261.83
2031-12,4115.89,30451139.12,261.79
2032-01,4117.04,30457637.58,261.76
2032-02,4118.18,30463919.52,261.73
2032-03,4119.31,30469984.95,261.70
2032-04,4120.44,30475845.89,261.67
2032-05,4121.55,30481508.36,261.64
2032-06,4122.65,30486978.37,261.61
2032-07,4123.74,30492261.94,261.58
2032-08,4124.81,30497368.09,261.56
2032-09,4125.88,30502296.81,261.53
2032-10,4126.94,30507060.14,261.51
2032-11,4127.98,30511658.08,261.48
2032-12,4129.02,30516102.65,261.46
